,Name,Load,Center,TSP_10_nodes,TSP_100_nodes,TSP_1000_nodes,TSP_10000_nodes,Save
0,G1.json,845921,999565,628757,0,0,0,1034100
1,G2.json,997200,2243611,1229600,0,0,0,998300
2,G3.json,997300,6000765,9108300,0,0,0,2400700
3,1000Nodes.json,8290384100,6556539700,119469800,1268908200,0,0,65201600
4,10000Nodes.json,1123163905800,1649396479200,2262922900,24714272200,310843245300,0,761926600
